season,player_name,injuries
2024,John Stephens Jr.,['Knee']
2024,Nick Vigil,['Foot']
2024,JuJu Smith-Schuster,['Hamstring']
2024,Jared Wiley,['Knee']
2024,Braden Smith,['Knee']
2024,Bernhard Raimann,['Concussion']
2024,Jordan Hicks,['Elbow']
2024,Jeremiah Owusu-Koramoah,['Neck']
2024,Dee Eskridge,['Personal']
2024,Calais Campbell,['Rest']
2024,Julian Hill,['Shoulder']
2024,Jevón Holland,['Hand']
2024,Kader Kohou,['Neck']
2024,Jordan Poyer,['Rest']
2024,Zach Sieler,['Eye']
2024,Robert Spillane,['Knee']
2024,Maxx Crosby,['Ankle']
2024,Andre James,['Ankle']
2024,Jamie Gillan,['Hamstring']
2024,Greg Joseph,['Abdomen']
2024,Ashtyn Davis,['Concussion']
2024,Leki Fotu,['Knee']
2024,Allen Lazard,['Chest']
2024,C.J. Mosley,['Neck']
2024,Alijah Vera-Tucker,['Ankle']
2024,Tony Adams,['Hamstring']
2024,Stone Smartt,['Ankle']
2024,Kristian Fulton,['Hamstring']
2024,Brenden Rice,['Shoulder']
2024,Reggie Gilliam,['Hip']
2024,DK Metcalf,['Knee']
2024,Abraham Lucas,['Knee']
2024,Cameron Young,['Knee']
2024,Noah Fant,['Groin']
2024,Boye Mafe,['Knee']
2024,DaRon Bland,['Foot']
2024,Trevon Diggs,['Calf']
2024,Micah Parsons,['Ankle']
2024,Nick Vigil,['Foot']
2024,Charles Woods,['Toe']
2024,Ethan Evans,['Illness']
2024,Puka Nacua,['Knee']
2024,Rob Havenstein,['Rest']
2024,Tre'Davious White,['Rest']
2024,Neville Gallimore,['Shoulder']
2024,Joey Slye,['Personal']
2024,Ben Bredeson,['Shoulder']
2024,Mike Evans,['Hamstring']
2024,Greg Gaines,['Calf']
2024,William Gholston,['Knee']
2024,Antoine Winfield Jr.,['Foot']
2024,Blake Cashman,['Toe']
2024,Taki Taimani,['Ankle']
2024,Ezra Cleveland,['Ankle']
2024,Christian Kirk,['Collarbone']
2024,Andrew Wingard,['Knee']
2024,Jaire Alexander,['Knee']
2024,Josh Myers,['Wrist']
2024,Evan Williams,['Hamstring']
2024,DeVonta Smith,['Personal']
2024,Dallas Goedert,['Hamstring']
2024,Darius Slay,['Groin']
2024,KhaDarel Hodge,['NIR-Personal']
2024,David Onyemata,['NIR-Rest']
2024,JD Bertrand,['Concussion']
2024,Grady Jarrett,['NIR-Rest']
2024,Ruke Orhorhoro,['Ankle']
2024,Jaquan Brisker,['Concussion']
2024,Braxton Jones,['Knee']
2024,Montez Sweat,['Shin']
2024,Kiran Amegadjie,['Calf']
2024,Marshon Lattimore,['Hamstring']
2024,Bub Means,['Ankle']
2024,Kendre Miller,['Hamstring']
2024,Rico Payton,['Back']
2024,Kool-Aid McKinstry,['Hamstring']
2024,Clelin Ferrell,['Knee']
2024,Cornelius Lucas,['Ankle']
2024,Frankie Luvu,['Shin']
2024,Tyler Boyd,['Shoulder']
2024,Tony Pollard,['Foot']
2024,Dillon Radunz,['Foot']
2024,Calvin Ridley,['Shoulder']
2024,Andrew Rupcich,['Triceps']
2024,L'Jarius Sneed,['Quad']
2024,T'Vondre Sweat,['Hip']
2024,Tre Avery,['Hamstring']
2024,Tyjae Spears,['Hamstring']
2024,Zack Moss,['Knee']
2024,Charlie Jones,['Groin']
2024,Geno Stone,['Shin']
2024,Orlando Brown Jr.,['Knee']
2024,Tee Higgins,['Quadricep']
2024,Brent Urban,['Concussion']
2024,Jalyn Armour-Davis,['Knee']
2024,Ikem Ekwonu,['Ankle']
2024,Feleipe Franks,['Concussion']
