ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Player Name
186.0,214.0,225.0,199.0,206.0,Hayden Hurst
206.0,,151.0,193.0,183.3,Kansas City Chiefs DST
169.0,218.0,246.0,201.0,208.5,Robbie Chosen
199.0,206.0,220.0,211.0,209.0,Austin Hooper
208.0,190.0,243.0,200.0,210.3,Jalen Tolbert
183.0,193.0,229.0,237.0,210.5,Kenny Golladay
,174.0,202.0,189.0,188.3,Christian Watson
159.0,229.0,245.0,216.0,212.3,Marvin Jones Jr.
215.0,203.0,210.0,221.0,212.3,Wil Lutz
,198.0,156.0,219.0,191.0,Ronald Jones II
209.0,205.0,268.0,173.0,213.8,Nico Collins
187.0,235.0,231.0,202.0,213.8,Daniel Jones
213.0,180.0,214.0,251.0,214.5,Rodrigo Blankenship
207.0,234.0,234.0,184.0,214.8,Jared Goff
,188.0,182.0,209.0,193.0,Chuba Hubbard
205.0,207.0,201.0,253.0,216.5,Taysom Hill
178.0,,200.0,208.0,195.3,Greg Joseph
226.0,183.0,224.0,235.0,217.0,Sammy Watkins
,153.0,270.0,176.0,199.7,Isaiah Spiller
195.0,221.0,189.0,277.0,220.5,Cincinnati Bengals DST
227.0,228.0,251.0,179.0,221.3,Kenyan Drake
198.0,,150.0,260.0,202.7,Chris Boswell
,189.0,221.0,198.0,202.7,Jameson Williams
211.0,210.0,209.0,271.0,225.3,Kenny Pickett
224.0,,117.0,,170.5,Mason Crosby
177.0,,226.0,222.0,208.3,Carson Wentz
,244.0,190.0,191.0,208.3,Logan Thomas
,196.0,264.0,174.0,211.3,Alec Pierce
,224.0,196.0,229.0,216.3,Jerick McKinnon
,233.0,152.0,267.0,217.3,Van Jefferson
214.0,,198.0,242.0,218.0,Jake Elliott
,197.0,178.0,,187.5,Marlon Mack
,211.0,271.0,175.0,219.0,D'Onta Foreman
223.0,230.0,255.0,234.0,235.5,Marcus Mariota
221.0,,232.0,210.0,221.0,Isaiah Likely
,219.0,,164.0,191.5,Darrel Williams
,222.0,183.0,261.0,222.0,Tennessee Titans DST
222.0,,203.0,247.0,224.0,Minnesota Vikings DST
,208.0,279.0,187.0,224.7,Wan'Dale Robinson
218.0,238.0,236.0,264.0,239.0,Zach Wilson
,209.0,258.0,213.0,226.7,K.J. Osborn
,,194.0,206.0,200.0,Myles Gaskin O
193.0,,239.0,263.0,231.7,Washington Commanders DST
204.0,,248.0,250.0,234.0,Cade York
216.0,,269.0,218.0,234.3,Rex Burkhead
,,187.0,236.0,211.5,Corey Davis
,216.0,,207.0,211.5,Tyrion Davis-Price
,242.0,,182.0,212.0,Parris Campbell
,213.0,211.0,,212.0,A.J. Green
192.0,,237.0,,214.5,Graham Gano
210.0,223.0,280.0,,237.7,Kyle Rudolph
,,219.0,215.0,217.0,Dustin Hopkins
,239.0,212.0,269.0,240.0,Cameron Brate
,,,167.0,167.0,Jeff Wilson Jr.
,227.0,222.0,,224.5,Randall Cobb
,225.0,,225.0,225.0,Eno Benjamin
,226.0,,226.0,226.0,Dontrell Hilliard O
220.0,,247.0,266.0,244.3,Mitchell Trubisky
,,,177.0,177.0,Mike Davis
,212.0,,246.0,229.0,KJ Hamler
,,191.0,276.0,233.5,Arizona Cardinals DST
,,227.0,243.0,235.0,Kendrick Bourne
,,197.0,,197.0,Randy Bullock
,240.0,,240.0,240.0,Sony Michel
,236.0,263.0,262.0,253.7,Donovan Peoples-Jones
,,282.0,203.0,242.5,Ameer Abdullah
,,,205.0,205.0,Matt Breida
,241.0,,245.0,243.0,David Bell
,,207.0,,207.0,Las Vegas Raiders DST
,,218.0,270.0,244.0,Jason Sanders
,,208.0,,208.0,Austin Seibert
,237.0,,257.0,247.0,Gus Edwards
,,223.0,272.0,247.5,Chicago Bears DST
,,215.0,,215.0,C.J. Uzomah
,231.0,,268.0,249.5,Samaje Perine
,,267.0,233.0,250.0,Davis Mills
,,,220.0,220.0,Jordan Mason
,245.0,,256.0,250.5,Hassan Haskins
,,228.0,274.0,251.0,Carolina Panthers DST
,,,223.0,223.0,Brevin Jordan
,246.0,261.0,,253.5,Jamison Crowder
,243.0,274.0,273.0,263.3,Curtis Samuel
,,230.0,,230.0,Cairo Santos
,,,230.0,230.0,Ke'Shawn Vaughn
,,,231.0,231.0,Damien Williams
,,235.0,278.0,256.5,Zack Moss
,,233.0,,233.0,Jimmy Garoppolo
,,238.0,,238.0,Brett Maher
,,285.0,239.0,262.0,Boston Scott
,,292.0,241.0,266.5,D'Ernest Johnson
,,244.0,,244.0,Jason Myers
,,,244.0,244.0,Joshua Kelley
,247.0,,,247.0,DeAndre Torrey
,,,248.0,248.0,Mo Alie-Cox
,248.0,,,248.0,Jake Powell
,249.0,,,249.0,Anthony Johnson
,,250.0,,250.0,Tyler Conklin
,250.0,,,250.0,Collin Hill
,251.0,,,251.0,Chad Muma
,252.0,,,252.0,Ben Johnson
,,,252.0,252.0,Braxton Berrios
,,253.0,,253.0,Kyle Juszczyk
,253.0,,,253.0,Austin Walter
,,,254.0,254.0,Zay Jones
,254.0,,,254.0,Kayvon Thibodeaux
,255.0,,,255.0,Karan Higdon
,,257.0,279.0,268.0,Marquez Callaway
,,256.0,,256.0,Seattle Seahawks DST
,256.0,,,256.0,Jordan Johnson
,257.0,,,257.0,Stephen Baggett
,258.0,,,258.0,Alex Barnes
,,,258.0,258.0,Jaylen Warren
,,259.0,,259.0,Detroit Lions DST
