Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Cam Akers,22.0,2021,RB,LAR,1.0,0.0,,,,,,5.0,3.0,0.0,3.0,3.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,134.0,,271.7,84.0
Cam Newton,32.0,2021,QB,CAR,8.0,5.0,126.0,69.0,684.0,4.0,5.0,47.0,230.0,5.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,258.0,198.0,,234.8,30.0
Cam Sims,25.0,2021,WR,WAS,14.0,3.0,,,,,,1.0,7.0,0.0,23.0,15.0,211.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,117.0
Cameron Batson,26.0,2021,WR,TEN,4.0,0.0,,,,,,2.0,15.0,0.0,5.0,2.0,15.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Brate,30.0,2021,TE,TAM,17.0,3.0,,,,,,0.0,0.0,0.0,57.0,30.0,245.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Nizialek,26.0,2021,K,ATL,4.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Hyde,31.0,2021,RB,JAX,12.0,2.0,,,,,,72.0,253.0,1.0,21.0,12.0,65.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,278.0,213.0,249.5,74.0
Carson Wentz,29.0,2021,QB,IND,17.0,17.0,516.0,322.0,3563.0,27.0,7.0,57.0,215.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,242.0,224.0,177.0,231.8,29.0
Case Keenum,33.0,2021,QB,CLE,7.0,2.0,72.0,47.0,462.0,3.0,1.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson Jr.,26.0,2021,WR,DAL,16.0,4.0,3.0,3.0,88.0,0.0,0.0,2.0,11.0,0.0,61.0,45.0,602.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,22.0,2021,WR,DAL,16.0,13.0,,,,,,9.0,76.0,0.0,120.0,79.0,1102.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,33.0,28.0,32.8,12.0
Cethan Carter,26.0,2021,TE,MIA,16.0,1.0,,,,,,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Henne,36.0,2021,QB,KAN,4.0,0.0,16.0,11.0,82.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,45.0
Charlie Woerner,24.0,2021,TE,SFO,17.0,3.0,,,,,,0.0,0.0,0.0,6.0,5.0,52.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0,48.0
Chase Claypool,23.0,2021,WR,PIT,15.0,13.0,,,,,,14.0,96.0,0.0,105.0,59.0,860.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,71.0,63.0,70.0,69.2,26.0
Chase Daniel,35.0,2021,QB,LAC,1.0,0.0,,,,,,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Edmonds,25.0,2021,RB,ARI,12.0,11.0,,,,,,116.0,592.0,2.0,53.0,43.0,311.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,70.0,83.0,55.0,62.0,26.0
Chase McLaughlin,25.0,2021,K,CLE,16.0,0.0,,,,,,,,,,,,,,7.0,7.0,10.0,4.0,4.0,4.0,21.0,15.0,37.0,36.0,,,,,,,,,,,,,,,,,,,,,,212.0,,,,284.0,24.0
Chester Rogers,27.0,2021,WR,TEN,16.0,2.0,,,,,,1.0,9.0,0.0,43.0,30.0,301.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Blewitt,26.0,2021,K,WAS,2.0,0.0,,,,,,,,,,,,,,0.0,0.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Boswell,30.0,2021,K,PIT,17.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,18.0,17.0,13.0,11.0,9.0,8.0,40.0,36.0,29.0,27.0,,,,,,,,,,,,,,,,,,,,,,215.0,,193.0,229.0,239.5,18.0
Chris Carson,27.0,2021,RB,SEA,4.0,4.0,,,,,,54.0,232.0,3.0,6.0,6.0,29.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,34.0,36.0,31.0,32.4,16.0
Chris Conley,29.0,2021,WR,HOU,16.0,10.0,,,,,,1.0,3.0,0.0,37.0,22.0,323.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,104.0
Chris Evans,24.0,2021,RB,CIN,14.0,1.0,,,,,,17.0,77.0,0.0,17.0,15.0,151.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,297.0,89.0
Chris Godwin,25.0,2021,WR,TAM,14.0,14.0,,,,,,4.0,21.0,1.0,127.0,98.0,1103.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,44.0,40.0,41.0,42.4,16.0
Chris Herndon,25.0,2021,RB,MIN,16.0,5.0,,,,,,0.0,0.0,0.0,7.0,4.0,40.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Hogan,34.0,2021,WR,NOR,5.0,1.0,,,,,,0.0,0.0,0.0,8.0,4.0,41.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Manhertz,29.0,2021,TE,JAX,17.0,10.0,,,,,,0.0,0.0,0.0,9.0,6.0,71.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Moore,28.0,2021,WR,HOU,12.0,1.0,,,,,,0.0,0.0,0.0,22.0,21.0,227.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Myarick,26.0,2021,TE,NYG,8.0,3.0,,,,,,0.0,0.0,0.0,6.0,3.0,17.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Naggar,24.0,2021,K,CLE,1.0,0.0,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Streveler,26.0,2021,QB,ARI,2.0,0.0,9.0,6.0,36.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Blake,25.0,2021,WR,ATL,16.0,0.0,,,,,,0.0,0.0,0.0,9.0,4.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,25.0,2021,WR,ARI,17.0,11.0,1.0,1.0,33.0,0.0,0.0,1.0,11.0,0.0,103.0,77.0,982.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,255.0,181.0,209.3,69.0
Christian McCaffrey,25.0,2021,RB,CAR,7.0,7.0,,,,,,99.0,442.0,1.0,41.0,37.0,343.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Christian Wilkins,26.0,2021,RDE,MIA,17.0,17.0,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,22.0,2021,RB,CAR,17.0,10.0,,,,,,172.0,612.0,5.0,37.0,25.0,174.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,154.0,259.0,168.0,176.6,50.0
Clyde Edwards-Helaire,22.0,2021,RB,KAN,10.0,10.0,,,,,,119.0,517.0,4.0,23.0,19.0,129.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,25.0,26.0,24.0,24.2,14.0
Codey McElroy,29.0,2021,TE,TAM,2.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Hollister,28.0,2021,WR,TEN,3.0,1.0,,,,,,0.0,0.0,0.0,7.0,4.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Parkey,29.0,2021,K,NOR,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,299.0,,316.0,29.0
Cody White,23.0,2021,WR,PIT,15.0,0.0,,,,,,0.0,0.0,0.0,6.0,5.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
