Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
Keelan Doss,27.0,2023,WR,LAC,5.0,0.0,,,,,,0.0,0.0,0.0,13.0,6.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Keenan Allen,31.0,2023,WR,LAC,13.0,13.0,2.0,1.0,49.0,1.0,0.0,2.0,6.0,0.0,150.0,108.0,1243.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,38.0,52.0,45.0,43.5,19
Keith Kirkwood,29.0,2023,WR,NOR,13.0,4.0,,,,,,0.0,0.0,0.0,9.0,5.0,37.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Keith Smith,31.0,2023,RB,ATL,13.0,6.0,,,,,,0.0,0.0,0.0,3.0,3.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,301.0,301.0,301.0,433.0,8
Kendre Miller,21.0,2023,RB,NOR,8.0,0.0,,,,,,41.0,156.0,1.0,11.0,10.0,117.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,193.0,162.0,177.0,177.3,52
Kendrick Bourne,28.0,2023,WR,NWE,8.0,5.0,,,,,,1.0,4.0,0.0,55.0,37.0,406.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kene Nwangwu,25.0,2023,RB,MIN,9.0,0.0,,,,,,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kenneth Gainwell,24.0,2023,RB,PHI,16.0,2.0,1.0,1.0,17.0,0.0,0.0,84.0,364.0,2.0,37.0,30.0,183.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,180.0,248.0,130.0,187.5,55
Kenneth Walker III,23.0,2023,RB,SEA,15.0,15.0,,,,,,219.0,905.0,8.0,37.0,29.0,259.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,41.0,50.0,34.0,43.8,16
Kenny Pickett,25.0,2023,QB,PIT,12.0,12.0,324.0,201.0,2070.0,6.0,4.0,42.0,54.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,181.0,183.0,154.0,168.3,21
Kenny Yeboah,25.0,2023,TE,NYJ,5.0,1.0,,,,,,0.0,0.0,0.0,4.0,2.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kenyan Drake,29.0,2023,RB,2TM,3.0,0.0,,,,,,2.0,0.0,0.0,3.0,2.0,31.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kevin Harris,23.0,2023,RB,NWE,4.0,0.0,,,,,,16.0,65.0,1.0,3.0,3.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kevin Rader,28.0,2023,TE,TEN,14.0,0.0,,,,,,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
KhaDarel Hodge,28.0,2023,WR,ATL,17.0,4.0,,,,,,1.0,0.0,0.0,23.0,14.0,232.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Khalil Herbert,25.0,2023,RB,CHI,12.0,9.0,,,,,,132.0,611.0,2.0,31.0,20.0,134.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,105.0,122.0,78.0,99.0,33
Khalil Shakir,23.0,2023,WR,BUF,17.0,10.0,,,,,,1.0,10.0,0.0,45.0,39.0,611.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,281.0,301.0,301.0,340.0,116
Khari Blasingame,27.0,2023,RB,CHI,16.0,2.0,,,,,,8.0,26.0,0.0,6.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kirk Cousins,35.0,2023,QB,MIN,8.0,8.0,311.0,216.0,2331.0,18.0,5.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,111.0,124.0,119.0,109.8,13
Ko Kieft,25.0,2023,TE,TAM,16.0,6.0,,,,,,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kwamie Lassiter II,25.0,2023,WR,CIN,1.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kyle Allen,27.0,2023,QB,BUF,7.0,0.0,,,,,,13.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,301.0,301.0,301.0,247.0,33
Kyle Juszczyk,32.0,2023,RB,SFO,17.0,16.0,,,,,,5.0,6.0,0.0,17.0,14.0,119.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,301.0,252.0,301.0,253.5,1
Kyle Philips,24.0,2023,WR,TEN,9.0,0.0,,,,,,0.0,0.0,0.0,22.0,15.0,181.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kyle Pitts,23.0,2023,TE,ATL,17.0,15.0,,,,,,1.0,-4.0,0.0,90.0,53.0,667.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,59.0,57.0,75.0,62.3,6
Kyle Trask,25.0,2023,QB,TAM,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Kylen Granson,25.0,2023,TE,IND,15.0,7.0,,,,,,1.0,2.0,0.0,50.0,30.0,368.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,301.0,301.0,301.0,434.0,70
Kyler Murray,26.0,2023,QB,ARI,8.0,8.0,268.0,176.0,1799.0,10.0,5.0,44.0,244.0,3.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,198.0,182.0,232.0,201.5,26
Kyren Williams,23.0,2023,RB,LAR,12.0,11.0,,,,,,228.0,1144.0,12.0,48.0,32.0,206.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,193.0,193.0,57
