Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Jared Cook,33.0,2020,TE,NOR,15.0,5.0,,,,,,0.0,0.0,0.0,60.0,37.0,504.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,123.0,105.5,10.0,127.4,90.4
Jared Goff,26.0,2020,QB,LAR,15.0,15.0,552.0,370.0,3952.0,20.0,13.0,51.0,99.0,4.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,136.0,143.5,16.0,231.98,231.98
Jarrett Stidham,24.0,2020,QB,NWE,5.0,0.0,44.0,22.0,256.0,2.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.0,39.0,12.94,12.94
Jarvis Landry,28.0,2020,WR,CLE,15.0,14.0,4.0,4.0,74.0,1.0,0.0,4.0,10.0,1.0,101.0,72.0,840.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,80.0,73.0,29.0,183.96,111.96
Jason Croom,26.0,2020,TE,PHI,4.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.3
Jason Huntley,22.0,2020,RB,PHI,5.0,0.0,,,,,,5.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,,,,488.0,115.0,2.9,1.9
Jason Myers,29.0,2020,K,SEA,16.0,0.0,,,,,,,,,,,,,,9.0,9.0,13.0,13.0,2.0,2.0,24.0,24.0,53.0,49.0,,,,,,,,,,,,,,,,,,,,,,230.0,,,210.0,239.7,15.0,130.0,130.0
Jason Sanders,25.0,2020,K,MIA,16.0,0.0,,,,,,,,,,,,,,16.0,16.0,14.0,12.0,9.0,8.0,39.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,263.0,,,,282.0,28.0,169.0,169.0
Jason Witten,38.0,2020,TE,LVR,16.0,7.0,,,,,,0.0,0.0,0.0,17.0,13.0,69.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,,,,301.0,41.0,31.9,18.9
Javon Wims,26.0,2020,WR,CHI,13.0,1.0,,,,,,1.0,2.0,0.0,12.0,6.0,48.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,11.0
